file_name,feature_x,feature_y,is_gan
00000.png,125,89,No
00000.png,101,130,No
00000.png,73,87,No
00001.png,126,91,No
00001.png,76,139,No
00001.png,75,90,No
00002.png,77,90,No
00002.png,127,90,No
00003.png,127,88,No
00003.png,77,87,No
00003.png,100,139,No
00003.png,101,160,No
00004.png,127,87,No
00004.png,77,88,No
00005.png,79,90,No
00005.png,124,89,No
00006.png,128,88,No
00006.png,75,89,No
00007.png,134,89,No
00007.png,126,90,No
00007.png,76,90,No
00007.png,86,139,No
00007.png,124,88,No
00008.png,179,115,No
00008.png,76,88,No
00008.png,96,145,No
00009.png,75,83,No
00009.png,129,83,No
00010.png,126,88,No
00010.png,76,89,No
00011.png,126,90,No
00011.png,75,87,No
00012.png,95,122,No
00012.png,126,88,No
00012.png,77,88,No
00014.png,125,87,No
00014.png,79,89,No
00014.png,86,138,No
00014.png,115,137,No
00015.png,125,88,No
00015.png,78,89,No
00016.png,126,89,No
00016.png,74,89,No
00017.png,125,89,No
00017.png,78,87,No
00017.png,73,75,No
00017.png,97,139,No
00018.png,127,89,No
00018.png,76,89,No
00018.png,81,137,No
00019.png,125,89,No
00019.png,78,90,No
00020.png,125,91,No
00020.png,77,84,No
00021.png,127,93,No
00021.png,122,84,No
00022.png,81,133,No
00023.png,127,92,No
00025.png,82,137,No
00026.png,93,110,No
00026.png,126,90,No
00026.png,73,88,No
00026.png,101,129,No
00027.png,74,87,No
00027.png,126,91,No
00028.png,116,90,No
00029.png,126,88,No
00029.png,75,91,No
00030.png,126,88,No
00030.png,76,89,No
00030.png,102,132,No
00031.png,124,88,No
00031.png,76,88,No
00031.png,95,79,No
00031.png,101,139,No
00032.png,128,88,No
00032.png,82,141,No
00033.png,125,90,No
00033.png,73,85,No
00034.png,123,91,No
00035.png,115,88,No
00035.png,104,143,No
00036.png,128,89,No
00036.png,75,91,No
00037.png,127,89,No
00037.png,76,88,No
00038.png,79,85,No
00038.png,120,91,No
00039.png,123,89,No
00039.png,75,89,No
00039.png,115,145,No
00040.png,127,90,No
00040.png,74,88,No
00041.png,126,90,No
00041.png,76,90,No
00042.png,126,91,No
00042.png,83,89,No
00043.png,101,153,No
00043.png,128,88,No
00043.png,75,89,No
00043.png,122,89,No
00044.png,126,90,No
00044.png,74,88,No
00044.png,176,61,No
00045.png,127,91,No
00045.png,77,89,No
00046.png,76,89,No
00046.png,126,89,No
00046.png,116,73,No
00047.png,123,87,No
00048.png,127,89,No
00048.png,78,88,No
00048.png,107,141,No
00049.png,75,90,No
00049.png,78,88,No
00050.png,127,89,No
00050.png,76,89,No
00051.png,128,89,No
00051.png,77,87,No
00052.png,77,90,No
00052.png,129,93,No
00053.png,74,91,No
00053.png,84,92,No
00053.png,125,88,No
00054.png,77,89,No
00054.png,126,89,No
00055.png,84,145,No
00055.png,77,90,No
00056.png,126,89,No
00056.png,77,89,No
00057.png,126,91,No
00057.png,82,89,No
00058.png,123,89,No
00058.png,70,91,No
00058.png,79,89,No
00059.png,126,87,No
00059.png,76,88,No
00059.png,85,23,No
00059.png,105,141,No
